Department,Office,Full Name,Acronym,Type,RIFANS Code
Department Of Administration ,Budget Office,Department Of Administration : Budget Office,DOA,State,68
Department Of Administration ,Bureau of Audits,Department Of Administration : Bureau of Audits,DOA,State,68
Department Of Administration ,Capital Project and Property Management,Department Of Administration : Capital Project and Property Management,DOA,State,68
Department Of Administration ,Central Management Services,Department Of Administration : Central Management Services,DOA,State,68
Department Of Administration ,"Construction Permits, Approvals, and Licensure","Department Of Administration : Construction Permits, Approvals, and Licensure",DOA,State,68
Department Of Administration ,Contractors Registration and Licensing Board,Department Of Administration : Contractors Registration and Licensing Board,DOA,State,68
Department Of Administration ,Division of Human Resources,Department Of Administration : Division of Human Resources,DOA,State,68
Department Of Administration ,Division of Information Technology,Department Of Administration : Division of Information Technology,DOA,State,68
Department Of Administration ,Division of Purchases,Department Of Administration : Division of Purchases,DOA,State,68
Department Of Administration ,Energy Resources,Department Of Administration : Energy Resources,DOA,State,68
Department Of Administration ,Facilities Management,Department Of Administration : Facilities Management,DOA,State,68
Department Of Administration ,Legal Services,Department Of Administration : Legal Services,DOA,State,68
Department Of Administration ,Office of Accounts and Controls,Department Of Administration : Office of Accounts and Controls,DOA,State,68
Department Of Administration ,Office of Digital Excellence,Department Of Administration : Office of Digital Excellence,DOA,State,68
Department Of Administration ,"Office of Diversity, Equity, and Opportunity","Department Of Administration : Office of Diversity, Equity, and Opportunity",DOA,State,68
Department Of Administration ,Office of Energy Resources,Department Of Administration : Office of Energy Resources,DOA,State,68
Department Of Administration ,Office of Library and Information Services,Department Of Administration : Office of Library and Information Services,DOA,State,68
Department Of Administration ,Office of Management and Budget,Department Of Administration : Office of Management and Budget,DOA,State,68
Department Of Administration ,Personnel Appeal Board,Department Of Administration : Personnel Appeal Board,DOA,State,68
Department Of Administration ,Planning,Department Of Administration : Planning,DOA,State,68
Department Of Administration ,Rhode Island Health Benefits Exchange,Department Of Administration : Rhode Island Health Benefits Exchange,DOA,State,68
Department Of Administration ,Statewide Planning,Department Of Administration : Statewide Planning,DOA,State,68
Department Of Administration ,Workers Compensation,Department Of Administration : Workers Compensation,DOA,State,68
Department Of Administration ,,Department Of Administration : ,DOA,State,68
Department Of Attorney General,Administration,Department Of Attorney General: Administration,,State,66
Department Of Attorney General,Auto Insurance Fraud Unit,Department Of Attorney General: Auto Insurance Fraud Unit,,State,66
Department Of Attorney General,Bureau of Criminal Identification,Department Of Attorney General: Bureau of Criminal Identification,,State,66
